name,title
年度,年度
大職業別,大職業別
經常性薪資-薪資,經常性薪資-薪資
經常性薪資-女/男,經常性薪資-女/男
國中及以下-薪資,國中及以下-薪資
國中及以下-女/男,國中及以下-女/男
高中或高職-薪資,高中或高職-薪資
高中或高職-女/男,高中或高職-女/男
專科-薪資,專科-薪資
專科-女/男,專科-女/男
大學-薪資,大學-薪資
大學-女/男,大學-女/男
研究所-薪資,研究所-薪資
研究所-女/男,研究所-女/男
