name,schema,description
107年各教育程度別初任人員每人每月經常性薪資─按大職類分.csv,schema_各教育程度別初任人員經常性薪資_按大職類分.csv,107年各教育程度別初任人員每人每月經常性薪資─按大職類分
107年各職類別初任人員每人每月經常性薪資－按行業別分.csv,schema_各職類別初任人員經常性薪資_按行業別分.csv,107年各職類別初任人員每人每月經常性薪資－按行業別分
