年度,行業別,經常性薪資-薪資,經常性薪資-女/男,專業人員-薪資,專業人員-女/男,技術員及助理專業人員-薪資,技術員及助理專業人員-女/男,事務支援人員-薪資,事務支援人員-女/男,服務及銷售工作人員-薪資,服務及銷售工作人員-女/男,技藝_機械設備操作及組裝人員-薪資,技藝_機械設備操作及組裝人員-女/男,基層技術工及勞力工-薪資,基層技術工及勞力工-女/男
2018,建築物及綠化服務業,26062,99.23,32706,100,29372,98.52,25869,99.33,25774,99.82,26998,97.83,22631,99.9
2018,行政支援服務業,26374,99.77,31182,100,28187,99.35,26463,99.78,25143,100,24111,100,22650,100
2018,教育業,26392,99.21,29145,99.72,… ,… ,25074,98.91,25615,100,— ,— ,… ,… 
2018,醫療保健業,27739,99.48,36094,99.84,30387,99.58,25640,99.58,25171,99.72,27486,99.65,23125,99.9
2018,藝術、娛樂及休閒服務業,26006,99.04,30816,98.54,27829,98.91,25854,98.89,24608,99.47,26236,98.64,23993,99.47
2018,創作及藝術表演業,27635,99.8,29991,100,27556,100,26750,99.89,25600,100,— ,— ,— ,— 
2018,運動、娛樂及休閒服務業,25896,98.98,31029,98.2,27855,98.8,25767,98.77,24580,99.45,26236,98.64,23993,99.47
2018,其他服務業,24614,99.23,31875,99.23,27368,98.95,25347,98.85,23065,99.61,24756,99.19,22826,99.69
2018,個人及家庭用品維修業,24701,99.06,29257,95.63,25713,96.95,24863,99.15,23194,99.83,24830,99.65,22332,100
2018,美髮及美容美體業,23187,100.08,… ,… ,28167,100,23981,97.1,22687,100.2,… ,… ,… ,… 
2018,其他個人服務業,25841,99.14,33064,100,29583,100,26664,99.39,23930,98.43,24173,96.91,23317,99.29
